Species	1-155	156-387	388-884	885-1401	1402-1900	1901-2398	2399-2924	2925-3433	3434-3947	3948-4426	4427-4920	4921-5420	5421-6176	6177-6290	6291-6499	6500-7084	7085-7673	7674-8298	8299-8902	8903-9014	9015-9459	9460-9843	9844-10206	10207-10430	10431-10545	10546-10669	10670-10904	10905-11291	11292-11698	11699-12078	12079-12487	12488-13230	13231-13408	13409-13622	13623-13853	13854-14071	14072-14300	14301-14530	14531-14753	14754-14934	14935-15139	15140-15341	15342-15566	15567-15762	15763-15959	15960-16135	16136-16340	16341-16745	16746-16957	16958-17126	17127-17287	17288-17460	17461-17572	17573-17776	17777-17968	17969-18136	18137-18314	18315-18499	18500-18747	18748-18906	18907-19058	19059-19151	19152-19289	19290-19406	19407-19543	19544-19674	19675-19798	19799-19931	19932-20318	20319-20423	20424-20531	20532-20653	20654-20752	20753-20857	20858-20971	20972-21048	21049-21129	21130-21193	21194-21244	21245-21345	21346-21435	21436-21743	21744-22020	22021-22136	22137-22344	22345-22515	22516-22789	22790-23027	23028-23110	23111-23249	23250-23400	23401-23534	23535-23672	23673-23808	23809-23920	23921-24070	24071-24199	24200-24411	24412-24513	24514-24643	24644-24786	24787-24901	24902-24987	24988-25085	25086-25167	25168-25227	25228-25283	25284-25339	25340-25555	25556-25808	25809-25993	25994-26210	26211-26377	26378-26546	26547-26716	26717-27128	27129-27339	27340-27746	27747-28048	28049-28338	28339-28410	28411-28640	28641-28869	28870-28990	28991-29128	29129-29311	29312-29381	29382-29529	29530-29581	29582-29694	29695-29910	29911-29994	29995-30083	30084-30167	30168-30275	30276-30390	30391-30598	30599-30678	30679-30751	30752-30947	30948-31048	31049-31119	31120-31202	31203-31454	31455-31562	31563-31752	31753-31895	31896-32048	32049-32095	32096-32313	32314-32381	32382-32613	32614-32760	32761-32843	32844-32917	32918-33049	33050-33236	33237-33379	33380-33503	33504-33568	33569-33610	33611-33875	33876-33959	33960-34120	34121-34197	34198-34289	34290-34339	34340-34462	34463-34547	34548-34636	34637-34705	34706-34772	34773-34878	34879-34987	34988-35233	35234-35303	35304-35383	35384-35505	35506-35574	35575-35716	35717-35837	35838-36081	36082-36275	36276-36373	36374-36449	36450-36558	36559-36708	36709-36897	36898-36947	36948-37036	37037-37141	37142-37342	37343-37512	37513-37653	37654-37841	37842-38079	38080-38330
Saccoglossus	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	98	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Holothuria_OTU	0	19	80	42	0	0	0	0	0	0	16	0	64	100	100	57	13	34	32	39	0	0	0	0	100	40	100	0	0	0	0	0	0	0	0	0	0	69	0	0	75	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	98	99	100	100	96	0	100	100	100	100	100	100	100	98	100	100	99	98	100	100	100	100	100	100	100	100	100	100	100	90	100	100	100	100	100	93	100	100	100	100	95	100	100	100	100	99	100	100	95	95	100	100	100	100	100	100	46	100	0	0	0	100	0	0	0	0	100	100	57	99	0	0	99	100	100	100	0	100	100	99	100	100	100	99	100	100	100	100	100	100	68	100	75	100	0	100	0	30	100	100	0	91	31	78	0	100	0	100	0	0	0	100	100	0	0	0	100	82	100	100	100	0	45	72	46	100	37	0	0	92	0	0	0	0	0	0	28	14
Patiria_OTU	0	83	99	45	51	58	63	0	25	37	0	0	64	65	100	20	0	74	0	100	0	52	100	81	100	100	100	96	96	100	75	22	100	100	100	100	60	0	77	100	100	79	100	100	80	100	42	65	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	99	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	74	100	0	100	0	0	74	0	100	51	0	100	100	100	0	91	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	66	100	100	100	0	100	39	79	100	100	100	100	94	100	100	100	97	100	92	70	100	100	100	100	100	100	0	100	100	100	98	100	60	83	100	100	100	100	80	100	100	100	76	100	100	100	100	0
Strongylocentrotus	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	92	100	100	100	100
Echinoderes	0	0	0	0	36	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	100	100	0	100	0	0	24	0	0	0	0	0	0	0	20	0	0	100	0	0	100	100	100	0	0	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	0	0	100	100	100	100	99	100	100	100	100	0	0	100	92	100	98	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	0	100	0	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	56	100	0	100	100	100	100	100	100	0	0	0	0	97	0	0	100	0	0	0	100	84	100	100	99	100	0	0	0	0	100	0	0	0	30	0	0	99	100	0	0	100	0	0	0	100	0	0	0	0	0	100	95	0	0	100	0	99	0	0	0	85	0
Priapulus	100	0	0	40	50	0	0	35	0	0	0	0	36	100	86	0	52	100	0	42	28	55	0	0	100	0	92	80	38	0	0	0	58	94	100	0	100	54	0	0	92	0	100	0	84	75	0	0	100	100	100	100	100	95	100	90	100	100	81	100	0	100	96	96	100	100	100	100	81	100	0	100	100	0	64	100	100	0	100	98	100	47	43	100	100	100	42	89	98	100	97	100	100	0	97	98	100	100	100	100	100	100	100	100	100	100	100	99	88	82	100	100	0	79	95	0	0	0	0	0	99	0	0	0	100	0	100	0	100	100	27	0	0	100	0	0	100	100	100	100	100	0	100	100	100	100	100	100	100	88	0	86	0	0	100	0	20	0	0	100	0	0	0	0	100	0	100	0	71	100	100	99	100	0	0	100	74	100	99	79	0	0	0	0	100	0	100	60	100	0	0	84	0	46	28	0	61
Litopenaeus_OTU	100	96	100	100	100	100	100	100	100	79	100	100	100	100	100	100	71	100	100	100	100	100	100	100	100	100	99	100	92	100	100	72	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	49	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	99	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	99	100	100	93	100	100	100	100	100	100	99	100	100	100	91	100	100	100	36	100	0	100	78	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	72	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100
Daphnia_pulex	100	95	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Onychiurus_OTU	100	82	32	96	82	54	79	79	22	100	9	60	95	100	80	32	75	86	20	100	0	33	97	100	99	100	0	63	44	100	92	63	100	86	97	100	100	100	95	86	42	97	100	96	99	97	43	78	83	100	100	45	100	100	98	100	100	100	0	98	100	63	100	100	100	100	100	100	13	100	100	100	100	100	100	100	100	97	100	100	100	33	100	65	100	100	100	55	0	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	99	100	100	0	100	79	100	92	99	100	100	100	33	100	84	0	100	90	100	61	100	100	100	100	99	100	93	100	99	100	100	100	100	99	100	100	100	100	100	99	100	91	100	100	100	100	100	100	100	100	65	100	92	100	100	100	45	99	100	100	0	100	100	100	100	100	100	100	100	100	98	100	100	100	100	56	53	67	99	100	0	97	36	100	100	100	34	60	100	64	100	100
Gryllus_OTU	90	88	85	61	93	94	50	72	46	56	93	90	100	100	100	100	80	100	78	100	55	68	100	100	100	100	100	59	80	62	99	85	97	100	94	100	91	100	89	100	92	93	100	100	81	97	35	0	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	81	100	100	100	100	100	100	100	99	97	100	100	100	100	100	100	85	100	100	96	100	100	100	100	100	100	100	100	100	89	100	100	100	100	100	100	100	100	0	100	100	97	100	100	100	99	100	83	100	36	100	100	0	0	67	100	78	100	100	59	100	100	83	100	100	100	100	100	73	100	100	100	100	100	100	87	80	100	100	100	100	100	100	100	100	100	100	84	100	83	100	100	100	56	100	100	90	97	100	100	92	100	100	100	100	0	100	100	100	100	100	92	100	74	100	100	100	0	93	69	100	100	100	84	83	100	100	96	100
Rhodnius_prolixus	100	86	98	80	100	85	89	54	100	100	86	77	100	100	97	100	100	100	94	100	91	100	97	86	100	100	100	90	100	100	100	100	100	100	65	98	100	67	82	64	90	100	95	81	90	64	65	75	100	100	61	100	100	100	100	100	77	77	99	100	99	38	98	100	81	100	100	100	100	99	100	95	100	60	100	100	100	100	100	93	100	100	100	100	78	87	100	100	100	100	95	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	90	100	74	93	96	0	100	78	62	100	100	100	40	97	85	100	100	100	100	100	100	100	100	100	100	100	100	76	100	100	100	100	0	100	100	46	59	79	100	100	100	59	100	100	70	100	71	100	79	75	100	100	36	100	100	80	86	100	45	55	100	100	64	100	100	100	95	79	100	100	100	78	100	100	0	100	89	72	100	100	63	98
Euperipatoides_OTU	0	88	50	0	0	0	0	0	0	61	0	0	31	100	100	31	0	34	0	0	0	0	0	0	100	0	0	75	41	0	0	0	98	0	0	100	0	0	0	0	0	0	0	0	0	100	20	0	100	75	100	100	0	100	100	100	100	100	36	100	79	100	0	100	0	0	100	100	57	100	100	100	100	100	100	100	100	100	95	100	0	69	100	98	80	100	100	100	100	100	100	100	100	100	99	100	100	100	84	100	100	98	100	99	100	100	100	100	99	100	100	0	98	100	79	0	100	0	0	61	0	0	53	0	0	99	0	0	100	0	0	100	0	100	100	100	100	0	100	100	100	0	98	100	100	100	100	100	100	70	100	0	100	100	100	100	0	100	100	100	100	0	100	0	100	100	100	0	0	100	100	100	100	0	0	100	0	100	100	0	0	0	24	100	0	100	0	100	100	0	100	0	0	0	99	100	0
Scutigera_coleoprata	0	0	0	0	0	0	0	0	0	0	0	0	77	0	100	42	0	0	0	100	0	75	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	49	0	0	0	0	0	0	17	100	100	100	100	100	100	100	97	0	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	63	100	100	100	100	100	100	87	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	0	99	100	60	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	0	99	100	100	100	0	100	100	100	100	100	100	100	100	0	100	0	0	100	100	0	0	100	100	0	100	0	0	100	99	0	0	0	0	100	100	100	100	0	0	100	0	0	100	0	100	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	0
Anoplodactylus	0	0	56	64	0	0	0	0	0	0	0	0	0	100	100	0	0	26	0	100	0	76	56	0	100	100	100	0	10	82	0	0	100	0	0	100	100	0	100	100	0	98	0	0	0	0	0	63	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	82	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	100	100	100	100	99	100	0	100	50	0	0	100	100	0	0	0	0	0	0	100	0	97	100	0	0	100	0	73	0	100	0	100	100	100	0	100	0	95	100	100	100	100	0	0	100	100	0	0	100	99	0	100	0	100	0	0	0	100	100	0	100	0	100	100	100	0	100	100	0	100	0	100	96	100	0	0	97	100	100	0	0	100	0	0	0	0	100	0
Acanthoscurria_OTU	100	91	71	86	22	67	10	0	93	84	0	64	100	100	100	58	16	82	38	92	89	36	83	100	100	0	92	0	72	49	30	62	99	100	99	100	97	90	81	0	100	0	97	0	0	87	93	84	98	100	100	100	100	0	100	100	97	100	100	100	91	0	100	100	100	100	100	100	64	99	0	79	100	100	100	100	100	0	100	0	100	59	80	98	92	100	93	100	100	100	0	96	100	100	100	100	100	93	100	100	100	92	100	0	100	94	0	0	100	100	100	95	100	96	100	0	100	0	50	100	100	37	44	100	45	100	100	100	100	0	95	0	100	99	0	100	100	100	100	100	100	100	100	100	100	100	91	100	100	93	100	100	100	100	100	60	90	100	100	100	100	56	100	100	100	100	100	100	100	0	0	100	95	0	0	100	100	100	0	100	100	100	24	100	100	0	84	100	0	0	0	0	13	100	0	63	79
Ixodes_OTU	100	95	100	73	89	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	90	100	100	81	98	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	89	100	100	100	100	100	100	88	100	100	100	100	100	100	100	100	100	100
Bugula_OTU	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	38	0	0	0	0	0	0	100	100	99	0	0	0	72	0	0	0	0	0	0	0	0	0	100	61	100	0	100	0	0	0	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	85	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	0	93	100	0	100	87	0	0	0	100	0	100	100	0	99	0	0	0	0	100	0	100	100	100	100	99	100	100	100	100	100	100	95	0	86	0	100	100	0	0	100	100	0	100	0	99	0	100	0	0	0	83	98	100	100	100	0	78	100	0	0	100	0	100	0	0	100	100	0	0	100	100	100	100	0	0	100	0	93	0
Cristatella	0	0	0	0	0	0	60	57	0	0	0	0	0	100	100	0	0	45	0	100	0	0	0	100	100	0	100	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	62	63	0	100	100	100	100	100	100	100	32	100	100	100	100	100	100	100	0	0	100	100	100	87	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	78	100	28	0	0	0	0	83	0	0	100	0	0	100	100	0	0	0	100	100	100	0	100	100	0	100	100	100	0	100	69	0	100	100	0	99	0	0	0	0	0	0	100	0	0	100	83	98	100	100	89	0	0	100	0	100	100	0	0	99	100	100	100	0	0	0	0	94	0	100	0	0	0	0	100	0	0	0	100	0	99	0
Flaccisagitta	0	0	22	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	100	100	73	0	0	29	0	0	0	0	0	0	86	49	82	100	0	96	0	0	0	44	0	0	92	99	100	65	100	100	88	100	100	100	85	99	100	100	96	100	0	46	100	100	51	100	100	100	100	100	100	0	100	100	100	100	100	0	64	87	75	100	57	76	100	100	100	100	100	100	100	0	100	60	100	100	100	0	100	0	100	100	100	100	99	78	0	82	0	0	0	0	100	0	0	0	64	0	0	0	0	0	0	0	0	0	69	100	0	0	0	0	34	63	100	0	73	100	98	0	0	0	76	50	69	0	0	0	0	0	0	31	0	0	99	0	98	0	53	0	91	0	0	0	0	0	100	100	63	100	0	0	100	0	0	0	0	0	0	0	77	100	0	18	0	96	0	0	0	0	0	0	0
Spadella_cephaloptera	98	0	0	0	0	0	0	18	0	0	0	0	7	0	100	18	0	0	0	0	0	0	74	0	100	100	0	0	49	0	0	0	88	0	99	0	100	0	82	100	100	100	0	100	0	0	0	60	100	99	0	100	100	100	100	100	100	0	0	99	100	100	100	100	0	0	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	0	77	100	100	100	85	86	0	100	100	100	100	100	100	100	100	63	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	0	66	0	0	0	64	76	0	0	0	0	0	0	100	100	0	0	100	86	49	0	99	100	0	100	100	100	97	100	0	100	100	0	100	68	99	0	0	100	0	0	86	0	99	0	0	0	0	100	0	0	98	0	0	0	100	100	100	0	0	100	100	0	100	0	0	100	0	0	100	100	0	0	100	0	100	0	93	0	67	100	0
Pedicellina_OTU	0	0	50	62	0	59	0	0	61	0	0	0	90	100	100	0	0	85	11	100	0	83	100	0	100	100	100	0	0	0	69	0	0	0	0	98	0	0	0	0	0	100	0	0	100	0	0	0	100	100	100	100	100	100	100	98	94	100	100	98	97	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	100	99	100	98	100	100	100	100	100	100	32	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	99	100	99	100	100	100	99	100	100	100	100	100	93	0	0	0	0	100	0	26	0	98	100	0	0	0	0	0	100	0	100	0	0	40	100	100	93	100	100	100	0	100	100	95	100	100	98	98	0	100	100	0	0	0	100	100	100	100	0	100	100	100	0	100	100	100	100	100	0	100	100	0	100	100	0	100	100	100	0	0	0	100	100	100	0	100	100	100	25	100	0	0	99	0
Symbion_pandora	99	87	50	0	0	0	54	0	0	0	0	0	33	100	100	0	0	52	39	0	0	0	0	0	100	0	100	71	0	0	0	0	0	0	100	0	100	100	0	100	100	100	0	100	100	100	43	71	100	100	100	100	100	0	100	100	100	99	100	100	100	100	100	100	100	100	100	100	83	100	100	100	100	100	100	100	100	100	0	0	100	94	100	98	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	99	100	100	100	0	100	0	97	0	0	0	0	96	56	100	0	100	0	99	100	0	100	100	100	0	0	100	100	0	0	99	100	0	0	0	0	100	98	100	100	100	100	100	0	100	100	0	100	0	100	0	0	0	100	98	100	0	0	100	0	100	0	100	0	100	0	0	99	0	100	0	0	100	0	0	0	0	100	0	0	0	100	0	0	0	0
Macrostomum	99	76	71	87	19	51	81	0	45	39	89	68	30	0	100	0	94	92	50	0	0	0	80	0	96	0	0	28	58	0	0	71	0	0	0	97	0	93	73	0	0	78	0	72	100	83	0	43	0	99	93	100	100	45	100	39	99	100	51	100	100	100	90	0	0	100	100	0	75	0	100	100	100	0	98	0	0	0	0	0	100	81	91	65	100	0	100	97	0	0	100	100	100	48	92	100	100	100	100	0	100	0	0	78	100	100	0	97	100	100	100	98	57	69	100	91	100	0	100	47	100	0	54	0	40	0	0	53	0	0	0	0	0	0	0	0	0	100	100	0	0	82	100	0	0	0	0	0	0	73	0	92	100	0	100	100	97	100	100	0	100	56	95	0	0	100	0	96	100	0	0	0	0	0	20	100	0	100	0	0	86	81	100	0	0	0	0	0	0	0	0	100	0	100	0	0	85
Paraplanocera	100	0	0	0	0	0	0	58	62	0	0	60	0	100	100	34	0	0	0	100	0	0	0	0	100	0	100	70	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	100	100	0	100	100	100	100	0	100	100	97	100	100	100	100	0	99	100	0	74	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	64	100	100	92	100	0	100	100	100	100	100	92	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	76	96	0	100	0	0	95	0	91	0	0	99	100	100	0	0	0	100	100	0	0	100	100	0	100	100	100	100	0	100	55	0	94	100	87	100	0	100	100	100	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	100	100	0	100	0	0	97	0	0	0	0	96	0	0	0	0	0	100	100	97	0	100	0	100	0	0	0
Brachionus	100	100	100	100	42	19	93	100	74	100	100	80	81	100	100	100	100	94	51	100	77	0	100	100	100	100	100	100	89	100	100	63	79	100	100	100	100	100	100	100	100	100	100	100	100	100	100	45	97	100	100	100	100	95	100	100	100	99	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	67	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	95	100	54	100	100	50	100	100	100	0	100	0	0	98	0	0	0	0	0	0	0	100	100	100	100	100	100	98	0	97	100	100	100	100	99	100	99	0	0	100	100	100	100	100	0	100	0	100	0	100	97	0	25	100	0	30	100	0	100	100	100	11	100	100	100	0	0	0	0	100	100	100	99	0	99	100	87	100	0	100	100	100	94	95
Philodina	0	0	0	0	67	0	0	0	0	0	57	11	40	100	100	0	0	100	33	100	0	0	0	100	100	99	100	0	0	0	0	0	100	100	0	100	0	0	0	99	0	0	0	0	0	0	0	0	100	100	100	0	100	100	94	100	100	0	100	100	100	100	100	100	100	100	100	100	76	98	100	100	100	99	100	100	100	100	100	100	100	75	100	100	100	100	96	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	0	100	62	0	0	100	0	0	64	100	0	99	0	0	0	100	0	0	90	98	87	0	100	100	0	100	96	100	0	0	0	99	0	100	0	100	95	0	100	100	100	100	82	100	100	0	0	0	0	99	100	0	100	0	100	99	0	100	99	100	99	100	100	98	100	100	0	0	100	100	100	100	0	0	100	0	0	0	0	43	100	88
Euprymna_OTU	85	100	93	91	73	38	27	37	56	67	35	94	92	100	100	33	92	95	18	100	39	35	87	84	100	0	100	54	53	0	56	54	0	96	97	79	93	100	100	0	100	78	100	100	100	90	43	61	100	31	79	100	0	100	100	100	95	99	100	100	100	94	98	100	100	100	100	100	100	43	100	100	100	90	100	100	52	0	0	0	0	91	100	99	100	100	92	100	94	100	100	100	100	100	92	100	100	100	100	88	99	100	99	100	100	100	100	0	100	97	100	47	0	100	100	37	90	46	100	64	100	68	93	100	90	0	99	100	100	86	100	0	100	0	100	100	95	97	100	100	100	0	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	45	0	100	99	100	100	100	100	0	0	100	81	100	100	100	0	100	0	100	100	44	100	0	0	0	100	98	100	0	100	92	99	100	100	100	100
Crassostrea	100	100	100	76	100	31	100	100	95	94	80	76	100	100	100	100	86	100	100	100	62	58	100	100	100	100	100	100	47	100	99	92	100	100	100	87	100	78	100	100	95	100	100	97	100	100	74	38	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	97	99	99	100	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	49	100	100	100	100	100	98	0	85	96	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	96	100	100	100	95	100	100	100	100	100	64	100	100	99	100	98	100	99	100	100	99	100	100	100	100	100	100	100	100	100	94	99	100	100	100	0	100	0	100	100	100	100	83	99	100	100
Mytilus_OTU	99	100	92	50	90	51	91	99	33	100	89	67	100	100	100	94	20	100	59	0	44	100	80	100	100	100	100	100	100	100	100	49	0	100	99	96	100	100	91	100	100	100	100	97	100	100	100	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	44	100	100	100	100	100	99	100	100	100	100	99	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	75	96	49	71	100	100	23	100	100	100	100	98	0	100	100	100	100	100	100	0	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	59	100	100	75	100	100	100	97	100	100	53	100	100	80	100	100	100	100	100	0	100	100	100	28	100	100	100	100	100	39	100	99	100	100	100	99	100	100	100	100	100	100	100	100	94	93
Aplysia_californica	100	100	100	94	100	100	100	94	100	100	95	99	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	97	100	100	100	94	100	87	95	100	100	100	100	100	100	100	100	100	100	100	100	81	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	97	100	100	68	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	99	100	100	100	100	100	100	100	100	100	82	100	100	100	100	100	100	100	99	46	97	100	88	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	76	100	100	100	100	100	100	100	100	100	92	76	94	100	100
Lottia_OTU	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	57	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	98	100	100	99	100	0	100	100	100	90	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
